MS:  	 1831: 
partner with him in  his business, 	 narrow-minded trader, and saw idleness 
[DELstart] he said he did not[DELend][DELstart] and[DELend] with 	 ruin in the aspirations and ambition of 
favou that 	 son. Henry deeply felt 
learning [DELstart] see[DELend][DELstart] ^of[DELend][DELstart] what use learning[DELend][DELstart] was[DELend][DELstart] could be[DELend][DELstart] to a[DELend][DELstart] merchant.[DELend][ADDstart] ^[ADDend][ADDstart] of[ADDend][ADDstart] ^[ADDend][ADDstart] could be[ADDend]  Henry had a refined mind 	 misfortune of being debarred from a liberal education. He said little; but when he spoke, I read in his kindling eye 
he [DELstart] did not wish[DELend][ADDstart] had no desire[ADDend]  	 restrained but firm resolve, not 
idle  and was well pleased 	 chained 
 become 	[NO 1831 VARIANT]
[DELstart] of[DELend][DELstart] have[DELend][DELstart] mind.[DELend][ADDstart] ^[ADDend][ADDstart] partner[ADDend][ADDstart] posess[ADDend][ADDstart] understanding.[ADDend] plaints, 	 miserable details of commerce.     We sat late. We could not tear ourselves away from each other, nor persuade ourselves to say the word “Farewell!” It was said; 
[DELstart] I[DELend] arrangements for 	 we retired under the pretence of seeking repose, each fancying that 
future. [DELstart] and[DELend][ADDstart] T[ADDend] next morning early 	 other was deceived: but when at morning’s dawn 
departed. Tears  gushed from the eyes of Elizabeth 	 descended to the carriage which was to convey me away, 
proceeded partly from sorrow  was 	 were all there—my father again to bless me, Clerval to press my hand once more, my Elizabeth 
have taken place three   	 renew her entreaties that I would write often, and to bestow the last feminine attentions on her playmate and friend. 
 away 	 away, 
 I 	 I, 
[DELstart] ed[DELend]  	[NO 1831 VARIANT]
 give 	 bestow 
 pleasure; 	 pleasure, 
university [DELstart] wi[DELend]  	 university, 
 going 	 going, 
 friends 	 friends, 
[DELstart] introduction[DELend][ADDstart] protector.[ADDend]  	 protector. 
 retired 	 secluded 
 domestic 	 domestic; 
 an 	[NO 1831 VARIANT]
[DELstart] faces[DELend] countenances. 	 countenances. 
brothers Eliza beth 	 brothers, Elizabeth, 
 Clerval 	 Clerval; 
 "old 	 “old 
 faces" 	 faces;” 
 journey But 	 journey; but 
 proceeded 	 proceeded, 
knowledge [DELstart] and I[DELend] I 	 the acquisition of knowledge. I 
 often 	 often, 
 home 	 home, 
[DELstart] how[DELend][ADDstart] it[ADDend]  hard 	[NO 1831 VARIANT]
was  	 hard 
place   	 place, 
 into 	[NO 1831 VARIANT]
[DELstart] worth[DELend]  world 	 world, 
[DELstart] place[DELend][DELstart] with[DELend] station 	 station 
[DELstart] And[DELend] now 	 Now 
[DELstart] cop[DELend][ADDstart] &[ADDend]  	 complied with, and 
would [DELstart] indeed[DELend][ADDstart] ^[ADDend][ADDstart] indeed[ADDend][ADDstart] have[ADDend]  	 would, indeed, have 
 I 	 repent.     I 
[DELstart] plenty of[DELend][ADDstart] sufficient[ADDend]  	 sufficient 
  	[NO 1831 VARIANT]
 Ingolstadt 	 Ingolstadt, 
 fatiguing – at 	 fatiguing. At 
 steeples 	 high white steeple 
 alighted 	 alighted, 
 apartment 	 apartment, 
  	[NO 1831 VARIANT]
 The 	 The 
 introduction 	 introduction, 
 and among others 	 Chance—or rather the evil influence, the Angel of Destruction, which asserted omnipotent sway over me from the moment I turned my reluctant steps from my father’s door—led me first 
[DELstart] Krempe[DELend][ADDstart] Krempe[ADDend] Professor 	 Krempe, professor 
[DELstart] & Lecturer[DELend][DELstart] upon[DELend]  Natural 	 natural 
received me with  politeness, and 	 was an uncouth man, but deeply embued in the secrets of his science. He 
[DELstart] sciences[DELend]  	[NO 1831 VARIANT]
mentioned, it is true  with fear and trembling, 	 replied carelessly; and, partly in contempt, mentioned the names of my alchymists as 
 only 	 principal 
[ADDstart] ^[ADDend][ADDstart] ever[ADDend] subjects. 	 studied. 
stared. [DELstart] "[DELend] "your 	 stared: “Have you,” he said, “really spent your 
 "nonsence?" 	 nonsense?”     
affir "Every minute"– 	 affirmative. “Every minute,” 
 with warmth," every 	 Krempe with warmth, “every 
 "you 	 you 
 upon 	 on 
 "books 	 books 
 "You 	 You 
[DELstart] bur[DELend][DELstart] memor[DELend]  	[NO 1831 VARIANT]
 "systems 	 systems 
[DELstart] where must you[DELend] in 	 God! in 
 desart 	 desert 
 "lived 	 lived, 
 "enough 	 enough 
[DELstart] enfor[DELend]  	[NO 1831 VARIANT]
 "that 	 that 
 fancies 	 fancies, 
[ADDstart] ^[ADDend][ADDstart] you[ADDend]  	 you 
 "so 	 so 
 imbibed 	 imbibed, 
[DELstart] at le[DELend]  	[NO 1831 VARIANT]
 "thousand 	 thousand 
 old 	 old, 
[DELstart] your[DELend]  	[NO 1831 VARIANT]
 ancient. 	 ancient? 
expected  "in 	 expected, in 
age  "to 	 age, to 
Mag "nus 	 Magnus 
sir  "you 	 sir, you 
 anew." 	 anew.”     
 saying 	 saying, 
ste[ADDstart] pp[ADDend] ed 	 stept 
[DELstart] wh[DELend]  	[NO 1831 VARIANT]
[DELstart] u[DELend]  upon 	 treating of 
 philosophy 	 philosophy, 
 procure 	 procure; 
 me 	 me, 
[DELstart] he intended[DELend][DELstart] to commen[DELend]  	[NO 1831 VARIANT]
 next 	 following 
  	[NO 1831 VARIANT]
relations; and 	 relations, and 
W.[ADDstart] ^[ADDend][ADDstart] aldham[ADDend]  	 Waldman, 
 fellow professor 	 fellow-professor, 
 which 	 that 
missed. I 	 omitted.     I 
 home 	 home, 
 dissapointed 	 disappointed, 
 the 	 those 
 which 	 whom 
 had so strongly reprobated – 	 reprobated; 
 did 	 returned, 
 feel very much enclined 	 at all the more inclined 
[DELstart] bu[DELend][DELstart] recon[DELend] procured. 	 recur to these studies in any shape. 
 man 	 man, 
 countenance and 	 countenance; 
 teacher 	 teacher, therefore, 
  	 of his pursuits. In rather a too philosophical and connected a strain, perhaps, I have given an account of the conclusions I had come to concerning them in my early years. As a child, I had not been content with the results promised by the modern professors of natural science. With a confusion of ideas only to be accounted for by my extreme youth, and my want of a guide on such matters, I had retrod the steps of knowledge along the paths of time, and exchanged the discoveries 
his [DELstart] science[DELend][ADDstart] doctrine.[ADDend] But when 	 recent enquirers for 
ne sides 	 dreams of forgotten alchymists. Besides, 
[DELstart] chemistry[DELend] natural 	 natural 
[DELstart] when[DELend]  different 	 different, 
the[DELstart] n[DELend]  	 the 
[DELstart] wealth[DELend][ADDstart] power[ADDend] ;– 	 power; 
 views 	 views, 
 futile 	 futile, 
 grand; 	 grand: 
[DELstart] all[DELend][DELstart] t and the expulsion[DELend] greatness in 	 changed. The ambition of 
science[DELstart] those[DELend][DELstart] utmost[DELend][ADDstart] those[ADDend] ambition of 	[NO 1831 VARIANT]
 grandeur, 	 grandeur 
worth. Such 	 worth.     Such 
[DELstart] tw[DELend]  	 the first 
[DELstart] solitary[DELend][ADDstart] ^[ADDend][ADDstart] spent[ADDend][ADDstart] in[ADDend]  but 	 of my residence 
 ensueing 	 ensuing 
 commenced 	 commenced, 
M[ADDstart] rempe[ADDend]  	 which M. Krempe 
 lectures, and 	 lectures. And 
[ADDstart] ^[ADDend] out 	 out 
pulpit  	 pulpit, 
M . Waldham, 	 M. Waldman, 
seen [DELstart] and[DELend]  	 seen, 
 hitherto 	[NO 1831 VARIANT]
town.[DELstart] Half out of[DELend] Partly 	 town.     Partly 
 curiosity 	 curiosity, 
 idleness 	 idleness, 
 room 	 room, 
M . Waldham 	 M. Waldman 
 Professor 	 professor 
 a 	[NO 1831 VARIANT]
dif[DELstart] the other[DELend] his 	 unlike his 
 was 	 appeared 
 benevolence 	 benevolence; 
[DELstart] hars[DELend]  	[NO 1831 VARIANT]
temples  	 temples, 
 He 	 His person 
short in  person 	 short, 
erect [DELstart] ha[DELend]  	 erect; 
with a [DELstart] kind[DELend] by 	 by 
 chemistry 	 chemistry, 
  	[NO 1831 VARIANT]
[DELstart] & discoveries[DELend][ADDstart] ^[ADDend][ADDstart] & discoveries[ADDend] made 	 made 
various  	 different 
[DELstart] had made[DELend][ADDstart] of learning[ADDend]  pronoucing 	 of learning, pronouncing with fervour 
greatest discoverers [DELstart] with great warmth[DELend] . 	 most distinguished discoverers. 
[DELstart] chemistry[DELend] the 	 the 
[DELstart] termes[DELend]  	 elementary 
[DELstart] made[DELend][ADDstart] After making[ADDend]  	 After having made 
experiments [DELstart] and[DELend][ADDstart] he[ADDend] ded 	 experiments, he concluded 
[ADDstart] ^[ADDend][ADDstart] modern[ADDend] ry 	 modern chemistry, 
 words 	 terms 
 "The 	 forget:—     “The 
 science" 	 science,” 
"promised impossibilities  "and 	 “promised impossibilities, and 
 "masters 	 masters 
little. They [DELstart] no[DELend]  	 little; they 
 "transmuted 	 transmuted, 
[DELstart] vitæ[DELend] of 	 of 
[DELstart] mere[DELend]  chimæra. 	 chimera. 
 "these philosophers 	 these philosophers, 
[DELstart] eyes[DELend]  	[NO 1831 VARIANT]
 "appear 	 seem 
 "dirt 	 dirt, 
 "the 	 the 
cruscible,  "have 	 crucible, have 
 "They 	 They 
 "nature 	 nature, 
 "in 	 in 
[ADDstart] ;[ADDend] – 	 the heavens: 
 discoverd 	 discovered 
 "the 	 the 
 "of 	 of 
[DELstart] New[DELend]  	[NO 1831 VARIANT]
 "acquired 	 acquired 
powers[ADDstart] ;[ADDend][ADDstart] y[ADDend]  	 powers; they 
 "thunders 	 thunders 
 mimick 	 mimic 
 "earthquake, 	 earthquake, 
 "invisible 	 invisible 
 I departed highly pleased 	 shadows.”     Such were the professor’s words—rather let me say such the words of fate, enounced to destroy me. As he went on, I felt as if my soul were grappling with a palpable enemy; one by one the various keys were touched which formed the mechanism of my being: chord after chord was sounded, and soon my mind was filled 
 professor 	 morning’s dawn, sleep came. I awoke, and my yesternight’s thoughts were as a dream. There only remained a resolution to return to my ancient studies, 
his lecture & paid him 	 to devote myself to a science for which I believed myself to possess 
 visit 	 natural talent. On 
 evening. 	 day, I paid M. Waldman a visit. 
[ADDstart] ^[ADDend] & 	 and 
 public. For 	 public; for 
 manner 	 mien 
 lectures 	 lecture, 
[DELstart] affabity[DELend] affability 	 affability 
 kindness in 	 kindness. I gave him pretty nearly the same account of my former pursuits as I had given to 
own  house. 	 fellow-professor. 
[ADDstart] my[ADDend]  	 with attention the 
 studies with attention 	 studies, and 
Paracelsus[ADDstart] X[ADDend]  	 Paracelsus, 
 Mr 	 M. 
[DELstart] Ex[DELend][DELstart] exhibited[DELend][ADDstart] expressed to them[ADDend][ADDstart] ^[ADDend] He said 	 exhibited. He said, 
 these 	 “these 
[DELstart] chem[DELend][ADDstart] natural[ADDend] philosophers 	 modern philosophers 
knowledge[ADDstart] ^[ADDend][ADDstart] had[ADDend] left 	 knowledge. They had left 
 task 	 task, 
 & 	 and 
conected classi fications 	 connected classifications, 
 to 	 in 
 genius 	 genius, 
 directed 	 directed, 
failed. in 	 fail in 
 I 	 mankind.” I 
state ment 	 statement, 
[DELstart] I ended by saying[DELend]  	 or affectation; and then added, 
 prejudice 	 prejudices 
 chemists 	 chemists; I expressed myself in measured terms, with the modesty 
I request ed at 	 deference due from a youth to his instructor, without letting escape (inexperience in life would have made me ashamed) any of 
 same time 	 enthusiasm which stimulated my intended labours. I requested 
procure  	 procure. 
 "I 	 “I 
 happy" 	 happy,” 
M "have 	 M. Waldman, “to have 
[DELstart] desci[DELend]  desciple 	 disciple; 
 if 	[NO 1831 VARIANT]
[DELstart] appil[DELend]  	[NO 1831 VARIANT]
ability  "I 	 ability, I 
 "philosophy 	 philosophy 
[ADDstart] ^[ADDend][ADDstart] been[ADDend] & 	 been and 
made.  "It 	 made: it 
account[DELstart] s[DELend]  	 account 
I "chose 	 I have made 
 for 	[NO 1831 VARIANT]
study. But  "at 	 study; but at 
[ADDstart] ^[ADDend][ADDstart] time[ADDend]  	 time 
 did 	 have 
 neglect 	 neglected 
 "other sciences. 	 other branches of science. 
 "a 	 but a 
 atteneded 	 attended 
  	[NO 1831 VARIANT]
 "your 	 your 
 really 	[NO 1831 VARIANT]
 "man 	 man 
 science 	 science, 
 "a pretty experimentalist 	 a petty experimentalist, 
[ADDstart] s[ADDend] e 	 advise 
 "branch 	 branch 
philosophy [DELstart] and[DELend][ADDstart] including[ADDend] He 	 philosophy, including mathematics.”     He 
[DELstart] workroom[DELend][ADDstart] laboratory[ADDend] shewed 	 laboratory, 
explain  ed 	 explained 
 use 	 uses 
machines instructing 	 machines; instructing 
[DELstart] should[DELend][DELstart] procure[DELend] ought 	 ought 
procure[DELstart] for my priva[DELend]  	 procure, 
[DELstart] a lone[DELend]  	[NO 1831 VARIANT]
far[DELstart] e[DELend]  	 far 
 study 	 science 
[DELstart] der[DELend]  	[NO 1831 VARIANT]
[ADDstart] ir[ADDend][ADDstart] ^[ADDend][ADDstart] mechanism.[ADDend]  	 their mechanism. 
 requested 	 requested; 
leave. Thus 	 leave.     Thus 
[DELstart] in a my life[DELend][ADDstart] to me[ADDend]  for 	 to me; 
 From 	 F ROM  
 philosophy 	 philosophy, 
 chemistry 	 chemistry, in the most comprehensive sense of the term, 
[ADDstart] ^[ADDend][ADDstart] nearly[ADDend]  	 nearly 
[DELstart] appli[DELend] study. 	 occupation. 
[DELstart] m[DELend]  	[NO 1831 VARIANT]
 books 	 works, 
discrimination [DELstart] at have been written[DELend]  	 discrimination, which modern inquirers have written 
 acquaintance 	 acquaintance, 
M  	 M. 
 & 	 and 
information  combined 	 information, combined, 
 true 	 true, 
 phisiognomy & 	 physiognomy and 
[DELstart] dg[DELend] dogmatism 	 dogmatism; 
 nature 	 nature, 
[DELstart] pedantl[DELend]  	[NO 1831 VARIANT]
It was perhaps the [DELstart] science[DELend][ADDstart] ^[ADDend] natural philosophy which 	 In a thousand ways 
professed love 	 smoothed 
science itself. But this [DELstart] circumstance[DELend][DELstart] was had[DELend] state 	 path 
mind had [DELstart] was[DELend][DELstart] more fully[DELend][DELstart] the[DELend][DELstart] philosophy[DELend][ADDstart] the more fully[ADDend][ADDstart] science [ADDend]  	 knowledge, and made 
more I [DELstart] studied[DELend][ADDstart]  pursued[ADDend] for its own sake. That 	 most abstruse enquiries clear and facile to my apprehension. My 
 which 	 was 
had been a matter [DELstart] ch[DELend][ADDstart] ^[ADDend][ADDstart] & resolution,[ADDend]  now 	 fluctuating and uncertain; it gained strength as I proceeded, and soon 
 eager 	 eager, 
[ADDstart] ^[ADDend] in 	 disappeared in 
 while 	 whilst 
[DELstart] labouring[DELend][ADDstart] engaged[ADDend] in 	 engaged in 
labrotary.  	 laboratory. 
I improved rapid[DELstart] It[DELend]  	 my progress was rapid. 
master. [DELstart] and[DELend]  	 masters. 
 me 	 me, 
 smile 	 smile, 
on[ADDstart] ;[ADDend][ADDstart] ^[ADDend] while 	 on? whilst 
 Waldham 	 Waldman 
 manner 	 manner, 
[DELstart] ws[DELend]  	[NO 1831 VARIANT]
 engaged 	 engaged, 
 soul 	 soul, 
 discoveries 	 discoveries, 
[DELstart] No one[DELend]  	[NO 1831 VARIANT]
 it 	 them 
science–[DELstart] especially[DELend]  	 science. 
 you 	 you, 
[DELstart] learn[DELend][ADDstart] know,[ADDend]  learn, 	 know; 
[DELstart] their[DELend]  	[NO 1831 VARIANT]
[DELstart] even[DELend]  	[NO 1831 VARIANT]
 capacity who 	 capacity, which 
 study 	 study, 
 study—And I 	 study; and I, 
[DELstart] was[DELend]  	[NO 1831 VARIANT]
[DELstart] applied to[DELend] sought 	 sought 
[DELstart] thing[DELend][ADDstart] object [ADDend][ADDstart] pursuit[ADDend]  	 object of pursuit, 
[DELstart] as I was[DELend]  	[NO 1831 VARIANT]
this [DELstart] I[DELend][ADDstart] sole[ADDend]  	 this, 
 rapidly that 	 rapidly, that, 
 the 	[NO 1831 VARIANT]
 years 	 years, 
[DELstart] one or two[DELend][DELstart] trifling[DELend][ADDstart] some[ADDend]  	 some 
[DELstart] machines[DELend][ADDstart] instruments[ADDend]  	 instruments, 
[ADDstart] ^[ADDend] point, 	 point, 
learned  all 	 become as well acquainted with 
professors [DELstart] that[DELend][DELstart] at In[DELend][DELstart] golstadt was[DELend][ADDstart] y[ADDend] there 	 theory and practice of natural philosophy as depended on the lessons of any of the professors at Ingolstadt, my residence there 
 improvement, 	 improvements, 
 to 	[NO 1831 VARIANT]
stay. One 	 stay.     One 
 those phænonoma 	 the phenomena 
[DELstart] most[DELend][ADDstart] st[ADDend]  	[NO 1831 VARIANT]
 frame; and indeed that of 	 frame, and, indeed, 
 Whence 	 Whence, 
 myself 	 myself, 
 this 	 the 
 proceed. 	 proceed? 
[DELstart] that[DELend][ADDstart] which[ADDend] has 	 which has 
mystery.  Yet 	 mystery; yet with 
 on 	 upon 
 acquainted with 	 acquainted, 
enquiries? . 	 enquiries. 
 mind 	 mind, 
 from 	[NO 1831 VARIANT]
[DELstart] treats[DELend] relate 	 relate 
 phisiology. 	 physiology. 
 irksome 	 irksome, 
life [DELstart] de[DELend]  	 life, 
[DELstart] recou[DELend]  	[NO 1831 VARIANT]
[DELstart] No is ano anatomy[DELend]  	[NO 1831 VARIANT]
 anatomy 	 anatomy: 
 sufficient. 	 sufficient; 
 & 	 and 
  	[NO 1831 VARIANT]
[DELstart] not[DELend]  	[NO 1831 VARIANT]
by [ADDstart] ^[ADDend][ADDstart] no[ADDend]  	 with no 
 having 	 to have 
ghost story tale 	 tale 
superstition  	 superstition, 
spirit [DELstart] Ligh[DELend]  	 spirit. 
 fancy 	 fancy; 
[ADDstart] ^[ADDend][ADDstart] as[ADDend]  	[NO 1831 VARIANT]
[DELstart] rotten b[DELend] bodies 	 bodies 
life and [DELstart] becoming[DELend][ADDstart] which[ADDend] from 	 life, which, from 
&[ADDstart] ^[ADDend][ADDstart] become[ADDend]  	 and strength, had become 
[DELstart] But[DELend][DELstart] I [DELend][DELstart] A loathsome[DELend][DELstart] But[DELend]  now 	 Now 
[DELstart] obliged[DELend][ADDstart] led[ADDend]  	 led 
[DELstart] cause[DELend][ADDstart] cause[ADDend] & 	 cause and 
 decay 	 decay, 
Charnel [DELstart] was obliged[DELend]  	 charnel-houses. 
[DELstart] horror of whic[DELend][DELstart] calculated to[DELend][ADDstart] object calculated to[ADDend] the 	 object the 
of the 	 of the 
[DELstart] are suscept[DELend][DELstart] able[DELend] – 	[NO 1831 VARIANT]
[DELstart] a[DELend]  	[NO 1831 VARIANT]
[DELstart] was[DELend][DELstart] became[DELend][ADDstart] became[ADDend][ADDstart] was[ADDend]  	 was 
 wasted. 	 wasted; 
 life – 	 life; 
worm[ADDstart] inherited[ADDend]  	 worm inherited 
anal[DELstart] yzed[DELend][DELstart] every[DELend][DELstart] minutiæ[DELend][DELstart]  of [DELend][DELstart] causation[DELend][ADDstart] yzing[ADDend] all 	 analysing all 
 causation 	 causation, 
& death 	 and death 
 untill 	 until 
me.  A 	 me—a 
 & wondrous 	 and wondrous, 
  	[NO 1831 VARIANT]
 simple 	 simple, 
 I 	 I 
 surprised 	 surprised, 
I [DELstart] was[DELend]  	[NO 1831 VARIANT]
 applied to 	 directed their enquiries towards 
 science 	 science, 
 this 	 so 
secret. Remember 	 a secret.     Remember, 
[ADDstart] ^[ADDend][ADDstart] not[ADDend]  	 not 
[DELstart] no[DELend]  	[NO 1831 VARIANT]
[DELstart] of[DELend]  	[NO 1831 VARIANT]
 madman – the 	 madman. The 
 heavens 	 heavens, 
wh[ADDstart] ich[ADDend] I 	 which I 
[DELstart] record[DELend][ADDstart] affirm,[ADDend]  	 affirm 
 it. But 	 it, yet 
[DELstart] toil[DELend][ADDstart] labour[ADDend]  	 labour 
 fatigue 	 fatigue, 
 & life. Nay 	 and life; nay, 
[DELstart] was[DELend][ADDstart] became[ADDend]  	 became 
[DELstart] My[DELend]  	 matter.     
surprise [DELstart] that[DELend][ADDstart] which[ADDend]  	 astonishment which 
[ADDstart] ^[ADDend][ADDstart] at first[ADDend] experienced 	 had at first experienced 
such  After 	[NO 1831 VARIANT]
 time 	 time 
labour[DELstart] come[DELend] to 	 labour, to 
 onece 	 once 
[DELstart] obj ect[DELend][DELstart] object[DELend][ADDstart] summit[ADDend]  	 summit 
 desires 	 desires, 
circumstance  that could have occurred. 	 consummation of my toils. 
overwhelm ing 	 overwhelming, 
[DELstart] the[DELend]  	[NO 1831 VARIANT]
  	[NO 1831 VARIANT]
[DELstart] that[DELend] by 	 by 
been progressively 	 been progressively 
[DELstart] saw[DELend][ADDstart] ^[ADDend][ADDstart] and[ADDend][ADDstart] ^[ADDend][ADDstart] beheld[ADDend]  	 obliterated, and I beheld 
[DELstart] m[DELend]  	[NO 1831 VARIANT]
[DELstart] hands.[DELend][ADDstart] ^[ADDend][ADDstart] grasp;[ADDend]  	 grasp. 
[DELstart] sceen[DELend]  scene 	 scene, 
on[ADDstart] c[ADDend][ADDstart] .[ADDend] on 	 once: 
contrary[DELstart] big[DELend][ADDstart] T[ADDend]  	[NO 1831 VARIANT]
[ADDstart] ^[ADDend] of 	 of 
[ADDstart] ^[ADDend][ADDstart] to[ADDend]  	 to 
endeavours. [ADDstart] ^[ADDend] so 	 endeavours so 
[DELstart] ,[DELend]  	 Arabian 
 life 	 life, 
 glimmering 	 glimmering, 
ineffectual light. I 	 ineffectual, light.     I 
 eargerness 	 eagerness, 
[DELstart] scret[DELend]  	[NO 1831 VARIANT]
acquainted[DELstart] but you are[DELend][ADDstart] ;[ADDend] that 	 acquainted; that 
be.[DELstart] mistaken[DELend][DELstart] .[DELend]  Listen 	 be: listen 
 to 	 until 
 story 	 story, 
[DELstart] For why shoul[DELend][DELstart] d[DELend]  	 subject. 
[DELstart] as[DELend]  	[NO 1831 VARIANT]
[DELstart] destruct[DELend]  	[NO 1831 VARIANT]
&  	 and 
 precepts 	 precepts, 
exam  ple, 	 example, 
 knowledge 	 knowledge, 
[DELstart] whonto[DELend] aspires 	 who aspires 
[DELstart] allows.[DELend]  	[NO 1831 VARIANT]
  	[NO 1831 VARIANT]
 When 	 When 
[DELstart] this[DELend][ADDstart] so[ADDend][ADDstart] a[ADDend]  	 so astonishing a 
[DELstart] use[DELend] manner 	 manner 
[DELstart] make of[DELend][ADDstart] employ[ADDend]  	 employ 
[DELstart] conceived myself capable of[DELend]  	[NO 1831 VARIANT]
 animation 	 animation, 
[DELstart] my[DELend]  	[NO 1831 VARIANT]
[DELstart] create[DELend][ADDstart] ^[ADDend][ADDstart] prepare[ADDend]  	 prepare 
[DELstart] creature[DELend][ADDstart] frame[ADDend][ADDstart] ^[ADDend] for 	 frame for 
[DELstart] receiving i[DELend][ADDstart] reception of[ADDend][ADDstart] it[ADDend]  	 reception of it, 
fibres muscles & veins [DELstart] must be[DELend][ADDstart] still remained[ADDend] a 	 fibres, muscles, and veins, still remained a 
[ADDstart] 2[ADDend][ADDstart] 1[ADDend] . 	 difficulty and labour. 
[DELstart] creature[DELend][DELstart] unto[DELend][ADDstart] being[ADDend]  myself 	 being like myself, 
[DELstart] b[DELend]  	[NO 1831 VARIANT]
[DELstart] capacity[DELend] ability 	 ability 
[DELstart] create[DELend][DELstart] creature[DELend][DELstart] being[DELend][ADDstart] give life[ADDend][ADDstart] to[ADDend][ADDstart] ^[ADDend]  	 give life to 
[DELstart] but[DELend][DELstart] But[DELend][DELstart] when I[DELend][DELstart] when[DELend][DELstart] I[DELend][DELstart] looked around for[DELend][DELstart] considered[DELend][DELstart] my[DELend][DELstart] materials[DELend][DELstart] they[DELend][ADDstart] Yet[ADDend][ADDstart] But[ADDend][ADDstart] considered[ADDend] The 	 The 
 ardous 	 arduous 
I did not despai but 	[NO 1831 VARIANT]
ul[ADDstart] -timately succeed.[ADDend] but 	 ultimately succeed. 
looked around on I 	[NO 1831 VARIANT]
 reverses, 	 reverses; 
[DELstart] might[DELend][DELstart] ever[DELend] incessantly, & 	 might be incessantly baffled, and 
 but imperfect, 	 imperfect: 
con the 	 considered the 
[DELstart] that[DELend][ADDstart] which[ADDend]  	 which 
[DELstart] and m my attempt was so much grande[DELend][DELstart] r[DELend][ADDstart] mechanics[ADDend] I 	 mechanics, I 
hope[DELstart] and[DELend] And altho although I could not 	[NO 1831 VARIANT]
  	[NO 1831 VARIANT]
[DELstart] s[DELend][DELstart] at le[DELend][DELstart] be in every[DELend][ADDstart] at le[ADDend] at 	 at 
[ADDstart] ^[ADDend][ADDstart] lay[ADDend]  	 lay 
success[DELstart] way perfect yet[DELend][DELstart] but[DELend][ADDstart] but[ADDend] Nor, 	 success. Nor 
 I did not think that 	[NO 1831 VARIANT]
[DELstart] grandeur[DELend][ADDstart] complexity[ADDend]  	 complexity 
[DELstart] w[DELend] as 	 as 
[DELstart] And[DELend][ADDstart] I[ADDend] t 	 It 
[ADDstart] ^[ADDend][ADDstart] that[ADDend] I 	 that I 
[DELstart] smallness[DELend][ADDstart] minuteness[ADDend]  	 minuteness 
[DELstart] were[DELend][ADDstart] formed[ADDend]  	 formed 
 hindrance 	 hinderance 
 speed 	 speed, 
[DELstart] him[DELend][DELstart] of[DELend][ADDstart] the being[ADDend]  	 the being 
 say 	 say, 
[ADDstart] ^[ADDend][ADDstart] seven[ADDend]  or 	[NO 1831 VARIANT]
[DELstart] And[DELend] after 	 After 
 determination 	 determination, 
[DELstart] collecting[DELend] successfully 	 successfully 
&  	 and arranging 
began. No 	 began.     No 
[DELstart] my[DELend]  	[NO 1831 VARIANT]
 pressed upon 	 bore 
[ADDstart] ^[ADDend][ADDstart] to[ADDend] enthusiasm life 	 onwards, like a hurricane, in the first enthusiasm of success. Life 
[ADDstart] thro,[ADDend]  	 through, 
[DELstart] creation[DELend][ADDstart] existence[ADDend]  	 species 
[DELstart] maker[DELend]  	 creator 
[DELstart] creatures[DELend][DELstart] beings[DELend][ADDstart] beings[ADDend][ADDstart] natures[ADDend]  	 natures 
[DELstart] existence[DELend][ADDstart] being[ADDend]  	 being 
[DELstart] in manner[DELend][DELstart] in a manner[DELend]  no 	 No 
 so 	 so 
[DELstart] And[DELend] sueing 	 theirs. Pursuing 
reflections [DELstart] if[DELend]  	 reflections, 
 thought 	 thought, 
[DELstart] life[DELend][ADDstart] animation[ADDend]  upon 	 animation 
 matter 	 matter, 
  	[NO 1831 VARIANT]
corruption. These 	 corruption.     These 
 spirits 	 spirits, 
[DELstart] labours[DELend][ADDstart] ^[ADDend][ADDstart] undertaking[ADDend] with 	 undertaking with 
[DELstart] eagerness[DELend][ADDstart] ^[ADDend][ADDstart] ardour[ADDend] . 	 ardour. 
[DELstart] was[DELend] had 	 had 
[DELstart] pe[DELend]  	[NO 1831 VARIANT]
[ADDstart] became[ADDend] emaciated by 	 had become emaciated with 
 sometimes 	 Sometimes, 
 certainty 	 certainty, 
 faild 	 failed; 
 still 	[NO 1831 VARIANT]
[DELstart] nexhour[DELend]  	[NO 1831 VARIANT]
 realize. 	 realise. 
[DELstart] knew[DELend][ADDstart] possessed[ADDend]  	 possessed 
 clung 	 had dedicated myself; 
labours  while 	 labours, while, 
 & 	 and 
 eagerness 	 eagerness, 
[DELstart] . But[DELend] who 	 hiding-places. Who 
[DELstart] know[DELend][ADDstart] ^[ADDend] concieve 	 conceive 
[DELstart] operatio[DELend][ADDstart] toil[ADDend] as 	 toil, as 
[DELstart] animate to ani[DELend]  	[NO 1831 VARIANT]
[DELstart] Now[DELend]  my 	 My 
 tremble 	 tremble, 
 rememberance, 	 remembrance; 
 resistless 	 resistless, 
[DELstart] all[DELend]  	[NO 1831 VARIANT]
frantic[ADDstart] ^[ADDend][ADDstart] impulse[ADDend]  	 frantic, impulse, 
 trance 	 trance, 
renew ed 	 renewed 
[DELstart] when[DELend] so 	 so 
as  	 as, 
sti [DELstart] had[DELend][ADDstart] ing[ADDend][ADDstart] had[ADDend]  	 stimulus ceasing 
 and 	[NO 1831 VARIANT]
 Charnel houses 	 charnel-houses; 
fingers  meddled with 	 fingers, 
 chamber–or 	 chamber, or 
 cell 	 cell, 
